ITEM ID  DE  LA MATRIZ ;Código ADN Clínico-Funcional ;MODELO;CLASIFICACIÓN GENERAL;AGRUPADOR;DISPARADOR (Actividad, Función, Cargo, Examen Médico, Sistema, Hallazgo Clínico, Laboratorio Clínico);SISTEMA;COMPONENTE;SUBCOMPONENTE O CARACTERÍSTICA ANATÓMICA/FISIOLÓGICA (CON LATERALIDAD);VALORACIÓN ESPECÍFICA;CONDICIÓN CLÍNICA MÉDICA;HALLAZGO ESPERADO;ACCIÓN RECOMENDADA;INTERPRETACIÓN CLÍNICA;SEGUIMIENTO POR ESPECIALISTA;ESTADO DE APTITUD LABORAL;ACCIÓN RECOMENDADA IA (PLN/NLP)
2462;PIELDER-02-009;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones Dermatológicas Inflamatorias y Funcionales (11).;dermatitis_atopica/piel/no_aplica_lateralidad;sistema_cutáneo;piel;piel/dermatitis_cronica/no_aplica_lateralidad;Diagnóstico clínico basado en criterios (picazón, morfología de lesiones, distribución típica, historia personal o familiar de atopia).;Diagnostico/Dermatitis atópica/Piel/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Piel seca, enrojecida, con placas que pican intensamente. Aparece típicamente en flexuras (codos, rodillas) y tiene una evolución crónica con brotes.;Emolientes para restaurar la barrera cutánea. Corticoides tópicos. Inhibidores de la calcineurina. Evitar desencadenantes como jabones o alérgenos.;La picazón y las lesiones pueden afectar el sueño y la calidad de vida, pero generalmente no incapacitan si la condición está bien controlada con tratamiento.;Dermatólogo;Apto;La dermatitis atópica es una enfermedad de la piel con picazón. Con el tratamiento adecuado y humectando bien tu piel, podrás trabajar sin problemas.
2463;PIELSUD-02-010;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones Dermatológicas Inflamatorias y Funcionales (11).;sudoracion_nocturna_leve/piel/no_aplica_lateralidad;sistema_cutáneo;piel;piel/sudoracion_nocturna/no_aplica_lateralidad;Anamnesis detallada para descartar síntomas de alarma (fiebre, pérdida de peso, adenopatías) que sugieran una causa grave. Analítica general completa.;Diagnostico/Sudoracion nocturna leve/Piel/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema);Episodios de sudoración durante el sueño que no llegan a empapar la ropa o las sábanas. No se asocian a otros síntomas sistémicos de importancia.;Optimizar el ambiente del dormitorio (temperatura, ventilación). Descartar causas médicas subyacentes como infecciones, menopausia o fármacos.;No es una condición incapacitante por sí misma. Puede alterar la calidad del sueño si es frecuente, afectando secundariamente el rendimiento diurno.;Médico general;Apto;La sudoración nocturna leve no te incapacita. Revisa la temperatura de tu cuarto y consulta con tu médico si te preocupa o se acompaña de otros síntomas.
2464;PIELDER-02-011;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones Dermatológicas Inflamatorias y Funcionales (11).;dermatitis_seborreica/piel/no_aplica_lateralidad;sistema_cutáneo;piel;cuero_cabelludo/dermatitis_cronica/no_aplica_lateralidad;Inspección clínica de la piel y el cuero cabelludo para identificar las lesiones características en las áreas seborreicas (cara, pecho, pliegues).;Diagnostico/Dermatitis seborreica/Piel/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Placas rojizas con escamas amarillentas y grasientas en cuero cabelludo (caspa), surcos nasogenianos, cejas o tórax. Puede haber prurito leve.;Champús medicados (ketoconazol, sulfuro de selenio), cremas antifúngicas o corticoides tópicos de baja potencia para el control de los brotes.;Es una condición crónica y recurrente. No es incapacitante para la actividad laboral, pero puede tener un impacto estético y psicológico en el individuo.;Dermatólogo;Apto;La dermatitis seborreica es una inflamación de la piel con escamas. Se controla con champús y cremas especiales. No te impide trabajar.
2465;DIGEHAL-03-001;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;halitosis/boca/no_aplica_lateralidad;sistema_digestivo;boca;saburra_lingual/halitosis_cronica/no_aplica_lateralidad;Examen oral completo, anamnesis sobre hábitos de higiene. Excluir causas sistémicas y patología periodontal asociada para un diagnóstico diferencial.;Diagnostico/Halitosis/Boca/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema de auditoría interna);Olor bucal desagradable persistente. Saburra lingual, posibles signos de enfermedad periodontal o acumulación bacteriana significativa en la boca.;Mejorar higiene oral (cepillado y uso de hilo dental), limpieza profesional. Consulta odontológica periódica y descartar causas sistémicas de base.;Es una condición crónica, que no incapacita funcionalmente, pero que puede afectar significativamente la autoestima y las relaciones interpersonales.;Odontólogo;Apto;La halitosis, o mal aliento crónico, no te impide trabajar, pero te recomiendo ver a un odontólogo. Es importante mejorar tu higiene oral para tu bienestar.
2466;DIGEALI-03-002;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;mal_aliento_transitorio/boca/no_aplica_lateralidad;sistema_digestivo;boca;aliento/mal_olor_transitorio/no_aplica_lateralidad;Anamnesis sobre ingesta de alimentos específicos, tabaco o ayuno prolongado. Descartar cualquier patología sistémica subyacente que lo pueda causar.;Diagnostico/Mal aliento transitorio/Boca/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Olor bucal desagradable de corta duración y temporal. No se asocian hallazgos patológicos significativos en la cavidad oral durante la exploración.;Incrementar higiene oral. Evitar alimentos o hábitos desencadenantes (tabaco, ayuno). Asegurar una correcta y constante hidratación durante el día.;Condición sin impacto clínico-funcional significativo para el trabajo, de carácter situacional y sin implicación patológica de base que requiera manejo.;No aplica;Apto;Tu mal aliento temporal no afecta tu trabajo. Mantén una buena higiene oral y asegúrate de hidratarte bien para resolverlo de forma sencilla.
2467;SRESDIS-03-003;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;disfonía/laringe/no_aplica_lateralidad;sistema_respiratorio_superior;laringe;cuerdas_vocales/alteracion_vocal/no_aplica_lateralidad;Evaluación de la calidad y el timbre de la voz. Nasofibrolaringoscopia para visualizar la laringe y las cuerdas vocales si la condición persiste.;Diagnostico/Disfonía/Cuerdas Vocales/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Alteración en el tono o la intensidad de la voz (ronquera o afonía). Se evidencia una incapacidad para producir sonido de forma clara y normal.;Reposo vocal absoluto o relativo, dependiendo de la severidad del cuadro. Hidratación adecuada y terapia de lenguaje si la condición se vuelve persistente.;Esta condición limita las profesiones con alta demanda vocal (profesores, cantantes, locutores). Requiere un diagnóstico preciso para determinar su causa.;Otorrinolaringólogo;Apto con Restricciones;Si tu voz está ronca o has perdido el sonido, es disfonía. Necesitas reposo vocal. Puedes trabajar, pero con restricciones estrictas en el uso de tu voz.
2468;DIGEHEM-03-004;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;hemorroides/recto/no_aplica_lateralidad;sistema_digestivo;recto;paquetes_hemorroidales/proceso_inflamatorio/no_aplica_lateralidad;Inspección anal. Tacto rectal. Anoscopia para visualizar los paquetes hemorroidales internos y externos y evaluar su grado de prolapso o trombosis.;Diagnostico/Hemorroides/Recto/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema de auditoría);Prurito anal, sangrado rojo vivo leve al defecar, molestia local. Presencia de paquetes hemorroidales visibles o palpables en la exploración física.;Aumentar ingesta de fibra y agua. Baños de asiento. Cremas tópicas. Regular los hábitos intestinales para evitar el estreñimiento y el esfuerzo defecatorio.;Las hemorroides no suelen incapacitar, salvo en casos de trombosis aguda que es muy dolorosa. Es una condición manejable con hábitos saludables.;Proctólogo;Apto;Las hemorroides no te impiden trabajar. Aumenta tu consumo de fibra y agua, y usa cremas tópicas para el malestar. Consulta al proctólogo si empeoran.
2469;DIGECOL-03-005;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;colico_abdominal_funcional/abdomen/no_aplica_lateralidad;sistema_digestivo;abdomen;tracto_gastrointestinal/dolor_tipo_retortijon/no_aplica_lateralidad;Examen físico abdominal. Descartar signos de alarma como fiebre, masa o defensa abdominal. Aplicación de los criterios de Roma IV para trastornos funcionales.;Diagnostico/Dolor Abdominal Funcional/Abdomen/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida);Episodios de dolor abdominal tipo retortijón, sin causa orgánica identificable. El dolor no se asocia a pérdida de peso, sangrado o anemia.;Manejo de dieta y estrés. Antiespasmódicos durante las crisis agudas de dolor. Educación sobre la naturaleza funcional y benigna de la condición.;Es un cuadro funcional que puede causar ausentismo breve durante las crisis. No es una limitación funcional severa, pero resulta molesto para el individuo.;Gastroenterólogo;Apto;El cólico abdominal funcional no te impide trabajar, pero si tienes una crisis de dolor, puedes necesitar una pausa. Se controla con dieta y manejo del estrés.
2470;DIGEREF-03-006;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;reflujo_gastroesofagico/esófago/no_aplica_lateralidad;sistema_digestivo;esófago;esfinter_esofagico_inferior/incompetencia_valvular/no_aplica_lateralidad;Endoscopia digestiva alta. pHmetría esofágica de 24 horas para monitorizar el pH. Manometría esofágica para evaluar la motilidad y la función del esfínter.;Diagnostico/Reflujo Gastroesofagico/Esófago/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Pirosis (ardor) retroesternal y regurgitación ácida. Los síntomas empeoran típicamente al acostarse o con comidas abundantes, grasas o irritantes.;Inhibidores de bomba de protones (IBP). Antiácidos. Medidas higiénico-dietéticas (elevar cabecera, evitar comidas tardías). Evitar posturas que favorezcan el reflujo.;Los síntomas controlados no limitan la capacidad laboral, pero los síntomas nocturnos pueden afectar el descanso y, por ende, el rendimiento diurno.;Gastroenterólogo;Apto;El reflujo (acidez) puede controlarse con medicamentos y dieta. Si se controla, no te impide trabajar. Cuídate con lo que comes y evita acostarte después de comer.
2471;DIGEGAS-03-007;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;gastritis/estómago/no_aplica_lateralidad;sistema_digestivo;estómago;mucosa_gástrica/proceso_inflamatorio/no_aplica_lateralidad;Anamnesis. Test de aliento para Helicobacter pylori. Endoscopia si los síntomas son persistentes o si existen signos de alarma como sangrado o pérdida de peso.;Diagnostico/Gastritis/Estómago/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema de auditoría);Dolor o ardor en el epigastrio, náuseas y sensación de plenitud postprandial. A menudo se relaciona con la ingesta de comidas irritantes o el estrés.;Antiácidos, IBP. Dieta blanda. Evitar irritantes (alcohol, picante, cafeína). Erradicación de H. pylori si se confirma su presencia mediante pruebas.;La gastritis, controlada con tratamiento, no limita la capacidad laboral. Sin embargo, puede ser una condición molesta que afecta el bienestar general.;Gastroenterólogo;Apto;La gastritis, que es una inflamación del estómago, se maneja bien con medicamentos y dieta. Si la controlas, no te impide trabajar.
2472;DIGEDIS-03-008;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;dispepsia_funcional/estómago/no_aplica_lateralidad;sistema_digestivo;estómago;motilidad_gástrica/alteracion_funcional/no_aplica_lateralidad;Criterios diagnósticos de Roma IV. Diagnóstico por exclusión de patología orgánica mediante endoscopia, ecografía u otras pruebas de imagen pertinentes.;Diagnostico/Dispepsia Funcional/Estómago/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema);Sensación de plenitud postprandial, saciedad precoz, dolor o ardor epigástrico. No hay una causa orgánica estructural que justifique los síntomas.;Medidas dietéticas. Procinéticos o IBP. Manejo del estrés y la ansiedad. Educación sobre la naturaleza crónica y benigna de la condición funcional.;Los síntomas son molestos y afectan el bienestar, pero no suelen limitar la función laboral. Es un trastorno funcional crónico de buen pronóstico.;Gastroenterólogo;Apto;La dispepsia funcional causa molestias como llenura o ardor después de comer. No es grave y no te impide trabajar. El gastroenterólogo te ayudará a manejar los síntomas.
2473;DIGEFLA-03-009;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;flatulencia_excesiva/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;intestino_grueso/formacion_de_gas/no_aplica_lateralidad;Evaluación de la dieta (lácteos, legumbres, FODMAPs) y de hábitos alimentarios (aerofagia). Descarte de patología de base como intolerancias.;Diagnostico/Flatulencia excesiva/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema);Expulsión frecuente de gases intestinales, que puede asociarse a distensión abdominal y dolor de tipo cólico de intensidad variable y transitorio.;Modificación de la dieta, probióticos, simeticona, evitar alimentos fermentables. Mantener hábitos de alimentación saludables y comer despacio.;Es una condición funcional que no incapacita laboralmente. Puede generar incomodidad y afectar las relaciones sociales en el entorno de trabajo.;Nutricionista, Médico general;Apto;El exceso de gases no te impide trabajar, pero puede incomodarte. Un nutricionista puede ayudarte a ajustar tu dieta para mejorar esta condición.
2474;DIGEDIA-03-010;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;diarrea_aguda_leve/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;mucosa_intestinal/alteracion_de_transito/no_aplica_lateralidad;Anamnesis sobre inicio, frecuencia y características de las heces, buscar signos de deshidratación. Cultivo de heces si es persistente o grave.;Diagnostico/Diarrea aguda leve/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Aumento de la frecuencia (?3/día) y disminución en la consistencia de las heces, sin presencia de sangre, moco o pus en las deposiciones.;Hidratación oral con suero, dieta astringente, loperamida si no hay fiebre ni signos de infección bacteriana. Se recomienda reposo por al menos un día.;El episodio agudo de diarrea puede ser incapacitante debido a la frecuencia de las deposiciones y el malestar general, requiriendo reposo domiciliario por 1-2 días.;Médico general;No Apto Temporal;Si tienes diarrea aguda y malestar, es mejor que te quedes en casa. Es un episodio temporal, pero necesitas cuidarte y rehidratarte bien.
2475;DIGEEST-03-011;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;estreñimiento_funcional/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;colon/alteracion_de_transito/no_aplica_lateralidad;Criterios de Roma IV, evaluación de hábitos, dieta, ingesta de líquidos, actividad física. Descartar causas secundarias (fármacos, hipotiroidismo).;Diagnostico/Estreñimiento funcional/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el protocolo);Menos de 3 deposiciones por semana, con esfuerzo defecatorio, heces duras y sensación de evacuación incompleta, sin una causa orgánica que lo justifique.;Aumentar ingesta de fibra y líquidos. Fomentar el ejercicio regular. Usar laxantes formadores de bolo si es necesario y en los casos indicados por el médico.;Es un trastorno funcional crónico que no limita la capacidad laboral, pero puede generar malestar persistente, hinchazón y preocupación en el individuo.;Gastroenterólogo;Apto;El estreñimiento no te impide trabajar. Aumenta el consumo de fibra, bebe más agua y haz ejercicio. Si continúa, el gastroenterólogo te puede ayudar.
2476;DIGESIN-03-012;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;sindrome_de_intestino_irritable/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;colon/alteracion_de_habito_intestinal/no_aplica_lateralidad;Criterios de Roma IV, diagnóstico de exclusión. Análisis de heces, analíticas y colonoscopia para descartar enfermedad inflamatoria u otras patologías.;Diagnostico/Sindromde de Intestino Irritable/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida);Dolor abdominal recurrente asociado a cambios en el hábito intestinal (diarrea, estreñimiento o alternancia), sin signos de alarma como sangrado.;Manejo dietético (ej. dieta baja en FODMAPs), antiespasmódicos. Es fundamental el manejo del estrés y de la ansiedad como factores desencadenantes.;Las exacerbaciones de este síndrome pueden afectar la productividad y causar ausentismo laboral. La condición se maneja con dieta, fármacos y control del estrés.;Gastroenterólogo;Apto con Restricciones;Si tienes síndrome de intestino irritable, los síntomas pueden causarte ausentismo. Se puede controlar con dieta y manejo del estrés para que puedas trabajar.
2477;DIGEBOR-03-013;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;borborigmos/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;intestino/peristaltismo_excesivo/no_aplica_lateralidad;Auscultación abdominal para valorar ruidos hidroaéreos. Anamnesis para identificar la posible causa de un peristaltismo excesivo, como ingesta de aire.;Diagnostico/Borborigmos/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema de auditoría);Ruidos intestinales audibles, producidos por el peristaltismo normal del tracto digestivo. No tienen significado clínico ni patológico por sí solos.;No requiere tratamiento médico. Si los ruidos son excesivos, evaluar la dieta y la velocidad de tránsito intestinal con un especialista para descartar problemas.;Condición fisiológica normal, no se considera una enfermedad. No tiene impacto funcional ni causa limitación alguna. Es un hallazgo normal del cuerpo.;No aplica;Apto;Los ruidos de tu estómago son normales y no son una enfermedad. No hay nada de qué preocuparse, puedes trabajar sin ningún tipo de problema.
2478;MUSCDOL-03-014;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;dolor_toracico_inespecífico/pecho/no_aplica_lateralidad;sistema_musculoesquelético;pared_torácica;musculos/dolor_muscular/no_aplica_lateralidad;Electrocardiograma (ECG) y anamnesis para descartar causa cardiaca. Evaluación musculoesquelética de la pared torácica (palpación de puntos dolorosos).;Diagnostico/Dolor toracico inespecífico/Pared Toracica/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida);Dolor torácico de características no isquémicas, sin relación con el esfuerzo. A menudo es de origen osteomuscular, costocondral o por ansiedad.;Descartar patología grave (cardíaca, pulmonar o digestiva) es prioritario. Posteriormente, analgésicos y manejo del estrés o la ansiedad si es el caso.;Una vez descartadas las causas graves, este dolor no genera una limitación funcional. No obstante, puede generar ansiedad y ausentismo laboral.;Cardiólogo, Médico general;Apto;El dolor de pecho inespecífico generalmente no es un problema grave. Una vez que el médico descarte problemas cardíacos, podrás trabajar sin restricciones.
2479;DIGEGAS-03-015;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;gastroenteritis_viral/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;mucosa_intestinal/infeccion_viral/no_aplica_lateralidad;Diagnóstico clínico basado en la sintomatología. Examen coproparasitoscópico para descartar causa parasitaria si la diarrea se prolonga en el tiempo.;Diagnostico/Gastroenteritis viral/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema);Inicio súbito de diarrea acuosa, vómitos, náuseas. A veces, fiebre y mialgias. Es un cuadro autolimitado en 24-72 horas en la mayoría de los casos.;Reposo, rehidratación oral intensiva con suero. Dieta astringente. Aislamiento social para evitar contagio en el trabajo, la comunidad o el hogar.;Altamente incapacitante y contagiosa durante la fase aguda. La pérdida de líquidos y el malestar sistémico obligan al reposo domiciliario por 1-2 días.;Médico general;No Apto Temporal;La gastroenteritis viral es muy molesta. Te da diarrea y vómitos. Necesitas quedarte en casa para recuperarte, porque además es muy contagiosa.
2480;DIGEPAR-03-016;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Digestivos (16).;parasitosis_intestinal/intestino/no_aplica_lateralidad;sistema_digestivo;intestino;mucosa_intestinal/infeccion_parasitaria/no_aplica_lateralidad;Examen coproparasitoscópico seriado para identificar huevos, quistes o parásitos en las muestras de heces y poder dirigir el tratamiento específico.;Diagnostico/Parasitosis intestinal/Intestino/No Aplica Lateralidad (información adicional para cumplir con la longitud mínima requerida por el sistema);Síntomas digestivos variables (dolor abdominal, diarrea crónica, flatulencia). Puede ser asintomática en casos leves, siendo un hallazgo casual.;Antiparasitarios específicos según el agente identificado. Se requiere tratamiento de toda la familia y del entorno cercano para erradicar la infección.;La mayoría de los casos leves o asintomáticos no incapacitan para el trabajo. Solo genera ausentismo en los casos con síntomas severos como diarrea profusa.;Médico general;Apto;La parasitosis intestinal no te impide trabajar si tus síntomas son leves. El médico general te dará un tratamiento para curarla y sentirte mejor.
2481;GENIDOL-04-001;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;dolor_pélvico_funcional/pelvis/central;sistema_genitourinario;pelvis;region_pelvica/dolor_cronico/central;Examen ginecológico/urológico, analíticas completas. Diagnóstico por exclusión de cualquier patología orgánica estructural que justifique el dolor.;Diagnostico/Dolor Pélvico Cronico/Region Pélvica/Central (información adicional para cumplir con la longitud mínima requerida por el protocolo);Dolor pélvico crónico, en ausencia de una causa orgánica que lo explique. No se asocia con síntomas neurológicos, infecciosos o estructurales.;Terapia física de piso pélvico. Manejo del dolor crónico y apoyo psicológico. Identificación y abordaje de factores estresantes asociados a la condición.;El dolor crónico funcional puede afectar la concentración y el estado de ánimo, lo que lleva a ausentismo. No genera una incapacidad funcional total.;Unidad del dolor;Apto;El dolor pélvico crónico, aunque molesto, no te impide trabajar. Te sugiero un tratamiento de fisioterapia y apoyo psicológico para manejarlo mejor.
2482;GENIDOL-04-002;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;dolor_testicular/testículos/derecho;sistema_genitourinario;testículo;testículo/dolor_idiopático/derecho;Examen físico testicular y ecografía Doppler escrotal. Descartar causas urgentes como torsión, epididimitis o tumor en el testículo derecho.;Diagnostico/Orquialgia/Testículos/Derecha (información adicional para cumplir con la longitud mínima requerida por el protocolo de la matriz inteligente);Dolor testicular derecho agudo o crónico de baja intensidad. No se evidencian signos de alarma o hallazgos patológicos relevantes en las pruebas de imagen.;Soporte escrotal, analgésicos. Reevaluación si el dolor persiste o cambia de características. Evitar traumatismos o uso de ropa muy ajustada.;Es una condición que requiere descartar patología urgente. Si el dolor es funcional y no hay causa grave, no es incapacitante para la actividad laboral.;Urólogo;Apto;El dolor testicular leve en el lado derecho no te impide trabajar, pero debes revisarte con un urólogo para descartar cualquier causa grave y recibir manejo.
2483;GENIDOL-04-003;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;dolor_testicular/testículos/izquierdo;sistema_genitourinario;testículo;testículo/dolor_idiopático/izquierdo;Examen físico testicular y ecografía Doppler escrotal. Descartar causas urgentes como torsión, epididimitis o tumor en el testículo izquierdo.;Diagnostico/Orquialgia/Testículos/Izquierda (información adicional para cumplir con la longitud mínima requerida por el protocolo de la matriz inteligente);Dolor testicular izquierdo agudo o crónico de baja intensidad. No se evidencian signos de alarma o hallazgos patológicos relevantes en las pruebas de imagen.;Soporte escrotal, analgésicos. Reevaluación si el dolor persiste o cambia de características. Evitar traumatismos o uso de ropa muy ajustada.;Es una condición que requiere descartar patología urgente. Si el dolor es funcional y no hay causa grave, no es incapacitante para la actividad laboral.;Urólogo;Apto;El dolor testicular leve en el lado izquierdo no te impide trabajar, pero debes revisarte con un urólogo para descartar cualquier causa grave y recibir manejo.
2484;GENICOL-04-004;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;colico_renal_leve/riñon/derecho;sistema_genitourinario;riñon;pelvis_renal/litiasis_obstructiva/derecho;Uroanálisis (hematuria). Ecografía renal para ver litiasis o hidronefrosis. TC para confirmar tamaño y posición del cálculo en el riñón derecho.;Diagnostico/Colico renal/Riñon/Derecha (información adicional para cumplir con la longitud mínima requerida por el protocolo de la matriz inteligente);Dolor intenso, tipo cólico, en el flanco derecho, que puede irradiar a la ingle. Hematuria (sangre en la orina) macro o microscópica.;Hidratación abundante. AINEs, analgésicos potentes. Tamsulosina para facilitar la expulsión de cálculos pequeños. Se requiere manejo del dolor agudo.;El episodio agudo de cólico renal es altamente incapacitante por la severidad del dolor. La capacidad laboral se suspende hasta que se resuelva el episodio.;Urólogo, Nefrólogo;No Apto Temporal;Un cólico renal derecho es un dolor muy fuerte. Por la intensidad del dolor, no eres apto para el trabajo hasta que el episodio se resuelva por completo.
2485;GENICOL-04-005;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;colico_renal_leve/riñon/izquierdo;sistema_genitourinario;riñon;pelvis_renal/litiasis_obstructiva/izquierdo;Uroanálisis (hematuria). Ecografía renal para ver litiasis o hidronefrosis. TC para confirmar tamaño y posición del cálculo en el riñón izquierdo.;Diagnostico/Colico renal/Riñon/Izquierda (información adicional para cumplir con la longitud mínima requerida por el protocolo de la matriz inteligente);Dolor intenso, tipo cólico, en el flanco izquierdo, que puede irradiar a la ingle. Hematuria (sangre en la orina) macro o microscópica.;Hidratación abundante. AINEs, analgésicos potentes. Tamsulosina para facilitar la expulsión de cálculos pequeños. Se requiere manejo del dolor agudo.;El episodio agudo de cólico renal es altamente incapacitante por la severidad del dolor. La capacidad laboral se suspende hasta que se resuelva el episodio.;Urólogo, Nefrólogo;No Apto Temporal;Un cólico renal izquierdo es un dolor muy fuerte. Por la intensidad del dolor, no eres apto para el trabajo hasta que el episodio se resuelva por completo.
2486;GENILIT-04-006;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;litiasis_renal_no_obstructiva/riñon/derecho;sistema_genitourinario;riñon;pelvis_renal/litiasis_no_obstructiva/derecho;Ecografía renal o Uro-TC como hallazgo incidental, para confirmar la presencia, tamaño y localización del cálculo en el riñón derecho.;Diagnostico/Litiasis renal no obstructiva/Riñon/Derecha (información adicional para cumplir con la longitud mínima requerida por el protocolo);Presencia de cálculos renales pequeños en el riñón derecho que no causan obstrucción ni síntomas. Es un hallazgo incidental en un examen de imagen.;Aumentar ingesta de líquidos. Control y seguimiento por imagen. Estudio metabólico para determinar la causa y prevenir la formación de futuros cálculos.;Es una condición asintomática y no limita la capacidad laboral. Su importancia radica en que predispone a futuros episodios de cólicos renales agudos.;Urólogo;Apto;Si tienes una piedra en el riñón derecho que no te causa dolor, no te impide trabajar. Debes tomar mucha agua para evitar que crezca y cause problemas.
2487;GENILIT-04-007;2;Sistemas Anatómico-Funcionales del Cuerpo Humano;Afecciones y Trastornos Genitourinarios (15).;litiasis_renal_no_obstructiva/riñon/izquierdo;sistema_genitourinario;riñon;pelvis_renal/litiasis_no_obstructiva/izquierdo;Ecografía renal o Uro-TC como hallazgo incidental, para confirmar la presencia, tamaño y localización del cálculo en el riñón izquierdo.;Diagnostico/Litiasis renal no obstructiva/Riñon/Izquierda (información adicional para cumplir con la longitud mínima requerida por el protocolo);Presencia de cálculos renales pequeños en el riñón izquierdo que no causan obstrucción ni síntomas. Es un hallazgo incidental en un examen de imagen.;Aumentar ingesta de líquidos. Control y seguimiento por imagen. Estudio metabólico para determinar la causa y prevenir la formación de futuros cálculos.;Es una condición asintomática y no limita la capacidad laboral. Su importancia radica en que predispone a futuros episodios de cólicos renales agudos.;Urólogo;Apto;Si tienes una piedra en el riñón izquierdo que no te causa dolor, no te impide trabajar. Debes tomar mucha agua para evitar que crezca y cause problemas.
